epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.836,0.81557,0.57939,0.93565,0.83646,0.81882,0.87289,0.70978,0.51698,0.36636,0.84421,0.00166118,0.00166118,0.0684375
2,425.25,0.79919,0.57918,0.92578,0.84181,0.82088,0.87924,0.71084,0.5359,0.38191,0.84661,0.00327294,0.00327294,0.0367159
3,633.524,0.80441,0.5841,0.92462,0.84751,0.81093,0.87187,0.70418,0.53619,0.39428,0.84931,0.0048297,0.0048297,0.00493935
4,841.736,0.79475,0.58058,0.92464,0.8337,0.81089,0.87015,0.69719,0.54381,0.39358,0.85225,0.0047525,0.0047525,0.0047525
5,1054,0.77381,0.56788,0.92002,0.85212,0.80938,0.87548,0.70549,0.52608,0.37909,0.85018,0.00467,0.00467,0.00467
6,1262.89,0.77311,0.56324,0.91683,0.83867,0.8196,0.87669,0.70625,0.51927,0.39193,0.84887,0.0045875,0.0045875,0.0045875
7,1471.35,0.76509,0.55495,0.91426,0.84811,0.80769,0.8694,0.70424,0.51828,0.37484,0.8494,0.004505,0.004505,0.004505
8,1680.73,0.75998,0.55189,0.91281,0.86255,0.8194,0.88059,0.71137,0.51796,0.37288,0.84695,0.0044225,0.0044225,0.0044225
9,1889.54,0.75547,0.54583,0.91165,0.86748,0.81593,0.88082,0.7108,0.51488,0.37395,0.84662,0.00434,0.00434,0.00434
10,2099.35,0.75052,0.54485,0.91053,0.85113,0.80938,0.87064,0.69596,0.53513,0.38654,0.85017,0.0042575,0.0042575,0.0042575
11,2309.69,0.74599,0.53996,0.90829,0.8598,0.81605,0.87904,0.71014,0.52622,0.37258,0.84741,0.004175,0.004175,0.004175
12,2521.35,0.74369,0.5363,0.90691,0.85651,0.81834,0.8749,0.70356,0.53343,0.37186,0.8486,0.0040925,0.0040925,0.0040925
13,2730.69,0.73954,0.53214,0.90491,0.86243,0.81009,0.87346,0.70467,0.5193,0.37215,0.84565,0.00401,0.00401,0.00401
14,2939.6,0.74621,0.53843,0.90697,0.84086,0.80711,0.87223,0.70305,0.53725,0.37486,0.85052,0.0039275,0.0039275,0.0039275
15,3147.8,0.7343,0.52972,0.90466,0.85923,0.80552,0.87525,0.70926,0.52345,0.36677,0.84777,0.003845,0.003845,0.003845
16,3357.16,0.73008,0.5265,0.90116,0.85604,0.81076,0.87578,0.70961,0.51961,0.36843,0.84663,0.0037625,0.0037625,0.0037625
17,3566.7,0.73434,0.52774,0.9027,0.8565,0.80587,0.87196,0.70609,0.51099,0.36569,0.84625,0.00368,0.00368,0.00368
18,3776.23,0.72441,0.52334,0.90163,0.84806,0.8103,0.87564,0.71031,0.51064,0.36385,0.84531,0.0035975,0.0035975,0.0035975
19,3987.48,0.72694,0.52127,0.90198,0.85234,0.81408,0.8712,0.70168,0.52366,0.36842,0.84804,0.003515,0.003515,0.003515
20,4198.23,0.72829,0.52266,0.90457,0.85876,0.80595,0.87509,0.70818,0.51858,0.36736,0.84692,0.0034325,0.0034325,0.0034325
21,4407.29,0.71865,0.51703,0.89959,0.85811,0.80295,0.87383,0.70759,0.52047,0.36988,0.84673,0.00335,0.00335,0.00335
22,4617.2,0.72298,0.51542,0.90112,0.83902,0.81207,0.8742,0.70568,0.52197,0.3654,0.84577,0.0032675,0.0032675,0.0032675
23,4826.07,0.71807,0.51379,0.89902,0.85793,0.80858,0.87512,0.70933,0.51005,0.36274,0.84425,0.003185,0.003185,0.003185
24,5035.35,0.71551,0.51211,0.89541,0.83309,0.81807,0.87281,0.70395,0.51737,0.36845,0.84674,0.0031025,0.0031025,0.0031025
25,5243.97,0.71295,0.51139,0.89649,0.84079,0.82573,0.87796,0.7042,0.52621,0.36741,0.847,0.00302,0.00302,0.00302
26,5454.3,0.71327,0.50871,0.89646,0.85893,0.80337,0.87461,0.7052,0.52546,0.36765,0.84761,0.0029375,0.0029375,0.0029375
27,5664.96,0.71439,0.5092,0.89749,0.82729,0.82142,0.87497,0.71091,0.51331,0.36074,0.84518,0.002855,0.002855,0.002855
28,5874.09,0.70933,0.50401,0.89478,0.85988,0.79436,0.87039,0.7025,0.52588,0.36969,0.84774,0.0027725,0.0027725,0.0027725
